"Date","Yield from British Government Securities, 10 year Nominal Par Yield              [a] [b]             IUDMNPY"
"16 Oct 20","0.2441"
"15 Oct 20","0.2378"
"14 Oct 20","0.2656"
"13 Oct 20","0.289"
"12 Oct 20","0.3446"
"09 Oct 20","0.3348"
"08 Oct 20","0.3606"
"07 Oct 20","0.3776"
"06 Oct 20","0.3615"
"05 Oct 20","0.3508"
"02 Oct 20","0.3184"
"01 Oct 20","0.2674"
"30 Sep 20","0.2774"
"29 Sep 20","0.2243"
"28 Sep 20","0.2491"
"25 Sep 20","0.2283"
"24 Sep 20","0.2616"
"23 Sep 20","0.2745"
"22 Sep 20","0.2598"
"21 Sep 20","0.2233"
"18 Sep 20","0.2202"
"17 Sep 20","0.2532"
"16 Sep 20","0.2803"
"15 Sep 20","0.265"
"14 Sep 20","0.2743"
"11 Sep 20","0.2438"
"10 Sep 20","0.3099"
"09 Sep 20","0.3135"
"08 Sep 20","0.2343"
"07 Sep 20","0.2946"
"04 Sep 20","0.3039"
"03 Sep 20","0.3138"
"02 Sep 20","0.3139"
"01 Sep 20","0.3872"
"28 Aug 20","0.3763"
"27 Aug 20","0.3926"
"26 Aug 20","0.3806"
"25 Aug 20","0.3223"
"24 Aug 20","0.276"
"21 Aug 20","0.2958"
"20 Aug 20","0.2927"
"19 Aug 20","0.2927"
"18 Aug 20","0.2757"
"17 Aug 20","0.2906"
"14 Aug 20","0.2958"
"13 Aug 20","0.2938"
"12 Aug 20","0.3008"
"11 Aug 20","0.2521"
"10 Aug 20","0.2205"
"07 Aug 20","0.2292"
"06 Aug 20","0.1723"
"05 Aug 20","0.2062"
"04 Aug 20","0.1239"
"03 Aug 20","0.1434"
"31 Jul 20","0.1702"
"30 Jul 20","0.1379"
"29 Jul 20","0.1599"
"28 Jul 20","0.2058"
"27 Jul 20","0.1864"
"24 Jul 20","0.2014"
"23 Jul 20","0.1949"
"22 Jul 20","0.1859"
"21 Jul 20","0.2089"
"20 Jul 20","0.2112"
"17 Jul 20","0.1977"
"16 Jul 20","0.1824"
"15 Jul 20","0.2519"
"14 Jul 20","0.2056"
"13 Jul 20","0.2431"
"10 Jul 20","0.2193"
"09 Jul 20","0.2217"
"08 Jul 20","0.2499"
"07 Jul 20","0.2196"
"06 Jul 20","0.2231"
"03 Jul 20","0.2422"
"02 Jul 20","0.228"
"01 Jul 20","0.2703"
"30 Jun 20","0.2074"
"29 Jun 20","0.2145"
"26 Jun 20","0.2446"
"25 Jun 20","0.2333"
"24 Jun 20","0.242"
"23 Jun 20","0.2913"
"22 Jun 20","0.2443"
"19 Jun 20","0.2675"
"18 Jun 20","0.3064"
"17 Jun 20","0.2357"
"16 Jun 20","0.2153"
"15 Jun 20","0.2642"
"12 Jun 20","0.2976"
"11 Jun 20","0.247"
"10 Jun 20","0.2847"
"09 Jun 20","0.3401"
"08 Jun 20","0.4048"
"05 Jun 20","0.3877"
"04 Jun 20","0.3464"
"03 Jun 20","0.3049"
"02 Jun 20","0.2689"
"01 Jun 20","0.2671"
"29 May 20","0.2292"
"28 May 20","0.2122"
"27 May 20","0.2173"
"26 May 20","0.2532"
"22 May 20","0.2083"
"21 May 20","0.2072"
"20 May 20","0.3355"
"19 May 20","0.3202"
"18 May 20","0.3118"
"15 May 20","0.2807"
"14 May 20","0.2976"
"13 May 20","0.2577"
"12 May 20","0.2855"
"11 May 20","0.2726"
"07 May 20","0.325"
"06 May 20","0.2519"
"05 May 20","0.3072"
"04 May 20","0.3072"
"01 May 20","0.3321"
"30 Apr 20","0.325"
"29 Apr 20","0.325"
"28 Apr 20","0.3285"
"27 Apr 20","0.3446"
"24 Apr 20","0.3224"
"23 Apr 20","0.3194"
"22 Apr 20","0.3394"
"21 Apr 20","0.3129"
"20 Apr 20","0.4335"
"17 Apr 20","0.3406"
"16 Apr 20","0.33"
"15 Apr 20","0.3379"
"14 Apr 20","0.3627"
"09 Apr 20","0.3315"
"08 Apr 20","0.4452"
"07 Apr 20","0.4325"
"06 Apr 20","0.3757"
"03 Apr 20","0.3701"
"02 Apr 20","0.3859"
"01 Apr 20","0.3917"
"31 Mar 20","0.419"
"30 Mar 20","0.3625"
"27 Mar 20","0.3807"
"26 Mar 20","0.4337"
"25 Mar 20","0.4572"
"24 Mar 20","0.4613"
"23 Mar 20","0.4119"
"20 Mar 20","0.5839"
"19 Mar 20","0.8619"
"18 Mar 20","0.8534"
"17 Mar 20","0.6402"
"16 Mar 20","0.5571"
"13 Mar 20","0.4789"
"12 Mar 20","0.3558"
"11 Mar 20","0.3732"
"10 Mar 20","0.2368"
"09 Mar 20","0.2145"
"06 Mar 20","0.2666"
"05 Mar 20","0.4038"
"04 Mar 20","0.4451"
"03 Mar 20","0.464"
"02 Mar 20","0.4788"
"28 Feb 20","0.5035"
"27 Feb 20","0.5283"
"26 Feb 20","0.5653"
"25 Feb 20","0.5649"
"24 Feb 20","0.5954"
"21 Feb 20","0.6483"
"20 Feb 20","0.6485"
"19 Feb 20","0.6734"
"18 Feb 20","0.6854"
"17 Feb 20","0.714"
"14 Feb 20","0.689"
"13 Feb 20","0.7106"
"12 Feb 20","0.6817"
"11 Feb 20","0.6348"
"10 Feb 20","0.6236"
"07 Feb 20","0.6374"
"06 Feb 20","0.658"
"05 Feb 20","0.6671"
"04 Feb 20","0.6278"
"03 Feb 20","0.6021"
"31 Jan 20","0.6128"
"30 Jan 20","0.6128"
"29 Jan 20","0.5935"
"28 Jan 20","0.6118"
"27 Jan 20","0.5713"
"24 Jan 20","0.6237"
"23 Jan 20","0.6632"
"22 Jan 20","0.7099"
"21 Jan 20","0.7042"
"20 Jan 20","0.7156"
"17 Jan 20","0.6954"
"16 Jan 20","0.7046"
"15 Jan 20","0.7095"
"14 Jan 20","0.7637"
"13 Jan 20","0.8084"
"10 Jan 20","0.8261"
"09 Jan 20","0.8791"
"08 Jan 20","0.8502"
"07 Jan 20","0.8133"
"06 Jan 20","0.7874"
"03 Jan 20","0.8094"
"02 Jan 20","0.8523"
"31 Dec 19","0.9129"
"30 Dec 19","0.8894"
"27 Dec 19","0.8148"
"24 Dec 19","0.8352"
"23 Dec 19","0.8051"
"20 Dec 19","0.8546"
"19 Dec 19","0.8724"
"18 Dec 19","0.8077"
"17 Dec 19","0.7888"
"16 Dec 19","0.9003"
"13 Dec 19","0.8617"
"12 Dec 19","0.907"
"11 Dec 19","0.8099"
"10 Dec 19","0.8267"
"09 Dec 19","0.8138"
"06 Dec 19","0.7751"
"05 Dec 19","0.8387"
"04 Dec 19","0.7845"
"03 Dec 19","0.7292"
"02 Dec 19","0.7875"
"29 Nov 19","0.7387"
"28 Nov 19","0.7205"
"27 Nov 19","0.7253"
"26 Nov 19","0.6916"
"25 Nov 19","0.7432"
"22 Nov 19","0.7993"
"21 Nov 19","0.7993"
"20 Nov 19","0.7702"
"19 Nov 19","0.7739"
"18 Nov 19","0.7773"
"15 Nov 19","0.762"
"14 Nov 19","0.7508"
"13 Nov 19","0.785"
"12 Nov 19","0.8128"
"11 Nov 19","0.8181"
"08 Nov 19","0.8181"
"07 Nov 19","0.7925"
"06 Nov 19","0.7602"
"05 Nov 19","0.7917"
"04 Nov 19","0.7401"
"01 Nov 19","0.6939"
"31 Oct 19","0.653"
"30 Oct 19","0.7107"
"29 Oct 19","0.7446"
"28 Oct 19","0.746"
"25 Oct 19","0.6917"
"24 Oct 19","0.6564"
"23 Oct 19","0.7054"
"22 Oct 19","0.7319"
"21 Oct 19","0.7748"
"18 Oct 19","0.7354"
"17 Oct 19","0.7205"
"16 Oct 19","0.7147"
"15 Oct 19","0.7285"
"14 Oct 19","0.6644"
"11 Oct 19","0.7296"
"10 Oct 19","0.5734"
"09 Oct 19","0.4863"
"08 Oct 19","0.4402"
"07 Oct 19","0.4765"
"04 Oct 19","0.4643"
"03 Oct 19","0.5078"
"02 Oct 19","0.5157"
"01 Oct 19","0.4868"
"30 Sep 19","0.5092"
"27 Sep 19","0.5257"
"26 Sep 19","0.5403"
"25 Sep 19","0.541"
"24 Sep 19","0.5456"
"23 Sep 19","0.551"
"20 Sep 19","0.642"
"19 Sep 19","0.6417"
"18 Sep 19","0.7"
"17 Sep 19","0.7"
"16 Sep 19","0.6969"
"13 Sep 19","0.7731"
"12 Sep 19","0.6567"
"11 Sep 19","0.6591"
"10 Sep 19","0.6514"
"09 Sep 19","0.6273"
"06 Sep 19","0.5321"
"05 Sep 19","0.6383"
"04 Sep 19","0.535"
"03 Sep 19","0.4309"
"02 Sep 19","0.463"
"30 Aug 19","0.5161"
"29 Aug 19","0.4763"
"28 Aug 19","0.4807"
"27 Aug 19","0.5386"
"23 Aug 19","0.6065"
"22 Aug 19","0.6165"
"21 Aug 19","0.5531"
"20 Aug 19","0.5535"
"19 Aug 19","0.5858"
"16 Aug 19","0.5611"
"15 Aug 19","0.4977"
"14 Aug 19","0.5446"
"13 Aug 19","0.5932"
"12 Aug 19","0.5989"
"09 Aug 19","0.6002"
"08 Aug 19","0.6342"
"07 Aug 19","0.5797"
"06 Aug 19","0.6237"
"05 Aug 19","0.6133"
"02 Aug 19","0.6679"
"01 Aug 19","0.6886"
"31 Jul 19","0.7313"
"30 Jul 19","0.7562"
"29 Jul 19","0.7685"
"26 Jul 19","0.7975"
"25 Jul 19","0.8174"
"24 Jul 19","0.7643"
"23 Jul 19","0.7875"
"22 Jul 19","0.8125"
"19 Jul 19","0.8389"
"18 Jul 19","0.8579"
"17 Jul 19","0.8634"
"16 Jul 19","0.9269"
"15 Jul 19","0.8578"
"12 Jul 19","0.9448"
"11 Jul 19","0.9413"
"10 Jul 19","0.8592"
"09 Jul 19","0.8177"
"08 Jul 19","0.8123"
"05 Jul 19","0.852"
"04 Jul 19","0.7861"
"03 Jul 19","0.7995"
"02 Jul 19","0.8335"
"01 Jul 19","0.8728"
"28 Jun 19","0.9509"
"27 Jun 19","0.9283"
"26 Jun 19","0.8865"
"25 Jun 19","0.9045"
"24 Jun 19","0.873"
"21 Jun 19","0.9069"
"20 Jun 19","0.906"
"19 Jun 19","0.9343"
"18 Jun 19","0.8578"
"17 Jun 19","0.9127"
"14 Jun 19","0.9349"
"13 Jun 19","0.8931"
"12 Jun 19","0.9605"
"11 Jun 19","0.942"
"10 Jun 19","0.8873"
"07 Jun 19","0.8901"
"06 Jun 19","0.9431"
"05 Jun 19","0.9152"
"04 Jun 19","0.9938"
"03 Jun 19","0.9596"
"31 May 19","0.9775"
"30 May 19","0.9941"
"29 May 19","0.9771"
"28 May 19","1.016"
"24 May 19","1.0283"
"23 May 19","1.0485"
"22 May 19","1.1166"
"21 May 19","1.1396"
"20 May 19","1.1525"
"17 May 19","1.093"
"16 May 19","1.148"
